timestamp, q1, q2, q3, q4, q5, q6, q7, Extra1, Extra2
2024-08-01 15:33:12.660224, 0.000131686, -0.785256, 5.52779e-05, -2.35583, 0.000346242, 1.5713, 0.785808, 0.01, 0.01
2024-08-01 15:33:12.661282, 0.000129356, -0.785256, 5.52776e-05, -2.35583, 0.000350305, 1.57129, 0.785805, 0.01, 0.01
2024-08-01 15:33:12.662208, 0.000132574, -0.785266, 5.52776e-05, -2.35583, 0.000349082, 1.57129, 0.785812, 0.01, 0.01
2024-08-01 15:33:12.663224, 0.000136519, -0.785266, 5.52775e-05, -2.35583, 0.000351252, 1.57129, 0.785811, 0.01, 0.01
2024-08-01 15:33:12.664234, 0.000131709, -0.785261, 5.27719e-05, -2.35583, 0.000351331, 1.5713, 0.785812, 0.01, 0.01
2024-08-01 15:33:12.665278, 0.000129739, -0.785258, 5.80616e-05, -2.35583, 0.000350441, 1.57129, 0.785812, 0.01, 0.01
2024-08-01 15:33:12.666238, 0.000131213, -0.785259, 5.52775e-05, -2.35583, 0.00035045, 1.57129, 0.785811, 0.01, 0.01
2024-08-01 15:33:12.667222, 0.000134488, -0.785261, 5.52775e-05, -2.35583, 0.00034624, 1.57129, 0.785809, 0.01, 0.01
2024-08-01 15:33:12.668217, 0.000135027, -0.785261, 6.05672e-05, -2.35583, 0.000348372, 1.57129, 0.785808, 0.01, 0.01
2024-08-01 15:33:12.669252, 0.000133996, -0.785259, 5.52775e-05, -2.35583, 0.000349082, 1.57129, 0.785809, 0.01, 0.01
2024-08-01 15:33:12.670418, 0.000134488, -0.785261, 6.05672e-05, -2.35583, 0.000349319, 1.57129, 0.78581, 0.01, 0.01
2024-08-01 15:33:12.671309, 0.000135027, -0.785266, 5.80616e-05, -2.35583, 0.000351331, 1.57129, 0.785814, 0.01, 0.01
2024-08-01 15:33:12.672314, 0.000129081, -0.785259, 5.74081e-05, -2.35583, 0.000349424, 1.57129, 0.785814, 0.01, 0.01
2024-08-01 15:33:12.673296, 0.000133778, -0.785261, 5.81182e-05, -2.35583, 0.00035045, 1.5713, 0.785813, 0.01, 0.01
2024-08-01 15:33:12.674284, 0.0001295, -0.785259, 5.90085e-05, -2.35583, 0.000347257, 1.57129, 0.78581, 0.01, 0.01
2024-08-01 15:33:12.675206, 0.000133917, -0.785256, 6.08829e-05, -2.35582, 0.000347354, 1.57129, 0.785807, 0.01, 0.01
