Group,Upload Start Timestamp,Upload End Timestamp,Upload Delay (ms),Download Start Timestamp,Download End Timestamp,Download Delay (ms),Total Elapsed Time (ms)
39,2024-08-19 15:17:51.756367,2024-08-19 15:17:52.162585,406.2219,2024-08-19 15:17:52.162589,2024-08-19 15:17:52.463159,300.5739,38296.4376
40,2024-08-19 15:17:52.463178,2024-08-19 15:17:52.865658,402.4835,2024-08-19 15:17:52.865662,2024-08-19 15:17:53.163627,297.9675,38996.9043
41,2024-08-19 15:17:53.163645,2024-08-19 15:17:53.577173,413.5319,2024-08-19 15:17:53.577177,2024-08-19 15:17:53.892054,314.8809,39725.3327
42,2024-08-19 15:17:53.892072,2024-08-19 15:17:54.348975,456.9072,2024-08-19 15:17:54.348979,2024-08-19 15:17:54.644631,295.6536,40477.9075
43,2024-08-19 15:17:54.644646,2024-08-19 15:17:55.053894,409.2502,2024-08-19 15:17:55.053897,2024-08-19 15:17:55.355249,301.3543,41188.5259
44,2024-08-19 15:17:55.355268,2024-08-19 15:17:55.782799,427.532,2024-08-19 15:17:55.782801,2024-08-19 15:17:56.073704,290.9062,41906.9816
45,2024-08-19 15:17:56.073722,2024-08-19 15:17:56.474254,400.536,2024-08-19 15:17:56.474258,2024-08-19 15:17:56.767174,292.9176,42600.4505
46,2024-08-19 15:17:56.767190,2024-08-19 15:17:57.212335,445.148,2024-08-19 15:17:57.212339,2024-08-19 15:17:57.512320,299.9842,43345.5976
47,2024-08-19 15:17:57.512338,2024-08-19 15:17:57.912176,399.8406,2024-08-19 15:17:57.912179,2024-08-19 15:17:58.199724,287.5491,44033.0027
48,2024-08-19 15:17:58.199741,2024-08-19 15:17:58.626646,426.9088,2024-08-19 15:17:58.626650,2024-08-19 15:17:58.939324,312.678,44772.6026
49,2024-08-19 15:17:58.939345,2024-08-19 15:17:59.347276,407.9354,2024-08-19 15:17:59.347281,2024-08-19 15:17:59.637635,290.3576,45470.9128
50,2024-08-19 15:17:59.637655,2024-08-19 15:18:00.036930,399.2789,2024-08-19 15:18:00.036934,2024-08-19 15:18:00.328174,291.2434,46161.4518
51,2024-08-19 15:18:00.328191,2024-08-19 15:18:00.753562,425.375,2024-08-19 15:18:00.753567,2024-08-19 15:18:01.062999,309.4354,46896.2768
52,2024-08-19 15:18:01.063019,2024-08-19 15:18:01.529086,466.0717,2024-08-19 15:18:01.529091,2024-08-19 15:18:01.849010,319.9241,47682.2895
53,2024-08-19 15:18:01.849032,2024-08-19 15:18:02.329429,480.4012,2024-08-19 15:18:02.329434,2024-08-19 15:18:02.626064,296.6342,48459.3424
54,2024-08-19 15:18:02.626089,2024-08-19 15:18:03.035310,409.2246,2024-08-19 15:18:03.035315,2024-08-19 15:18:03.344954,309.6439,49178.2332
55,2024-08-19 15:18:03.344977,2024-08-19 15:18:03.767306,422.3322,2024-08-19 15:18:03.767310,2024-08-19 15:18:04.064191,296.8853,49897.4705
56,2024-08-19 15:18:04.064210,2024-08-19 15:18:04.474272,410.0661,2024-08-19 15:18:04.474276,2024-08-19 15:18:04.789626,315.3529,50622.9037
57,2024-08-19 15:18:04.789644,2024-08-19 15:18:05.193918,404.2778,2024-08-19 15:18:05.193923,2024-08-19 15:18:05.490238,296.3197,51323.5172
58,2024-08-19 15:18:05.490257,2024-08-19 15:18:05.914154,423.9018,2024-08-19 15:18:05.914159,2024-08-19 15:18:06.224381,310.2266,52057.6603
59,2024-08-19 15:18:06.224402,2024-08-19 15:18:06.644626,420.2282,2024-08-19 15:18:06.644630,2024-08-19 15:18:06.958478,313.8517,52791.7567
60,2024-08-19 15:18:06.958501,2024-08-19 15:18:07.381328,422.8323,2024-08-19 15:18:07.381333,2024-08-19 15:18:07.723735,342.4054,53557.0133
61,2024-08-19 15:18:07.723777,2024-08-19 15:18:08.143246,419.4731,2024-08-19 15:18:08.143250,2024-08-19 15:18:08.449721,306.4743,54282.9996
62,2024-08-19 15:18:08.449740,2024-08-19 15:18:08.874252,424.5157,2024-08-19 15:18:08.874257,2024-08-19 15:18:09.170485,296.2325,55003.7641
63,2024-08-19 15:18:09.170503,2024-08-19 15:18:09.577941,407.4423,2024-08-19 15:18:09.577945,2024-08-19 15:18:09.896356,318.4159,55729.6358
64,2024-08-19 15:18:09.896372,2024-08-19 15:18:10.293074,396.7067,2024-08-19 15:18:10.293079,2024-08-19 15:18:10.608782,315.707,56442.0609
65,2024-08-19 15:18:10.608801,2024-08-19 15:18:11.022110,413.3138,2024-08-19 15:18:11.022116,2024-08-19 15:18:11.338873,316.7609,57172.1514
66,2024-08-19 15:18:11.338942,2024-08-19 15:18:11.781989,443.0504,2024-08-19 15:18:11.781994,2024-08-19 15:18:12.086062,304.0736,57919.3424
67,2024-08-19 15:18:12.086082,2024-08-19 15:18:12.502444,416.3667,2024-08-19 15:18:12.502449,2024-08-19 15:18:12.851535,349.0899,58684.8137
68,2024-08-19 15:18:12.851551,2024-08-19 15:18:13.265459,413.9123,2024-08-19 15:18:13.265464,2024-08-19 15:18:13.564253,298.7933,59397.532
69,2024-08-19 15:18:13.564273,2024-08-19 15:18:13.973925,409.6654,2024-08-19 15:18:13.973939,2024-08-19 15:18:14.276708,302.772,60109.9869
70,2024-08-19 15:18:14.276724,2024-08-19 15:18:14.729083,452.3628,2024-08-19 15:18:14.729087,2024-08-19 15:18:15.035440,306.3551,60868.7171
71,2024-08-19 15:18:15.035453,2024-08-19 15:18:15.474331,438.8831,2024-08-19 15:18:15.474336,2024-08-19 15:18:15.770569,296.2372,61603.8481
72,2024-08-19 15:18:15.770588,2024-08-19 15:18:16.222707,452.1235,2024-08-19 15:18:16.222712,2024-08-19 15:18:16.532051,309.3436,62365.3298
73,2024-08-19 15:18:16.532069,2024-08-19 15:18:16.963863,431.7981,2024-08-19 15:18:16.963867,2024-08-19 15:18:17.288429,324.5657,63121.7078
