Group,Upload Start Timestamp,Upload End Timestamp,Upload Delay (ms),Download Start Timestamp,Download End Timestamp,Download Delay (ms),Total Elapsed Time (ms)
39,2024-08-19 16:01:07.477628,2024-08-19 16:01:07.899746,422.1221,2024-08-19 16:01:07.899750,2024-08-19 16:01:07.899750,0.0002,28973.6003
40,2024-08-19 16:01:07.899764,2024-08-19 16:01:08.346451,446.6906,2024-08-19 16:01:08.346455,2024-08-19 16:01:08.346456,0.0001,29420.3055
41,2024-08-19 16:01:08.346478,2024-08-19 16:01:08.760554,414.0791,2024-08-19 16:01:08.760558,2024-08-19 16:01:08.760558,0.0002,29834.408
42,2024-08-19 16:01:08.760573,2024-08-19 16:01:09.195355,434.7927,2024-08-19 16:01:09.195366,2024-08-19 16:01:09.195366,0.0002,30269.2161
43,2024-08-19 16:01:09.195382,2024-08-19 16:01:09.609694,414.3159,2024-08-19 16:01:09.609698,2024-08-19 16:01:09.609698,0.0002,30683.5483
44,2024-08-19 16:01:09.609714,2024-08-19 16:01:10.045770,436.0589,2024-08-19 16:01:10.045774,2024-08-19 16:01:10.045774,0.0001,31119.6239
45,2024-08-19 16:01:10.045791,2024-08-19 16:01:10.492383,446.5958,2024-08-19 16:01:10.492387,2024-08-19 16:01:10.492387,0.0002,31566.2374
46,2024-08-19 16:01:10.492403,2024-08-19 16:01:10.908423,416.0247,2024-08-19 16:01:10.908428,2024-08-19 16:01:10.908428,0.0002,31982.2778
47,2024-08-19 16:01:10.908444,2024-08-19 16:01:11.336099,427.6595,2024-08-19 16:01:11.336103,2024-08-19 16:01:11.336104,0.0003,32409.9538
48,2024-08-19 16:01:11.336134,2024-08-19 16:01:11.767785,431.6548,2024-08-19 16:01:11.767789,2024-08-19 16:01:11.767790,0.0003,32841.6399
49,2024-08-19 16:01:11.767809,2024-08-19 16:01:12.221163,453.3573,2024-08-19 16:01:12.221167,2024-08-19 16:01:12.221168,0.0003,33295.018
50,2024-08-19 16:01:12.221187,2024-08-19 16:01:12.625021,403.8385,2024-08-19 16:01:12.625027,2024-08-19 16:01:12.625027,0.0002,33698.8768
