Group,Upload Start Timestamp,Upload End Timestamp,Upload Delay (ms),Download Start Timestamp,Download End Timestamp,Download Delay (ms),Total Elapsed Time (ms)
1,2024-08-19 16:11:33.579811,2024-08-19 16:11:44.795796,11212.8937,2024-08-19 16:11:44.795820,2024-08-19 16:11:45.360009,564.1947,11781.4552
2,2024-08-19 16:11:45.360585,2024-08-19 16:11:45.807273,446.7114,2024-08-19 16:11:45.807298,2024-08-19 16:11:46.122227,314.9389,12543.6719
3,2024-08-19 16:11:46.122261,2024-08-19 16:11:46.542621,420.3721,2024-08-19 16:11:46.542634,2024-08-19 16:11:46.868383,325.7622,13289.8303
4,2024-08-19 16:11:46.868420,2024-08-19 16:11:47.286520,418.1149,2024-08-19 16:11:47.286537,2024-08-19 16:11:47.593825,307.2991,14015.2706
5,2024-08-19 16:11:47.593867,2024-08-19 16:11:48.024858,431.0061,2024-08-19 16:11:48.024874,2024-08-19 16:11:48.331090,306.2282,14752.5356
6,2024-08-19 16:11:48.331130,2024-08-19 16:11:48.810646,479.529,2024-08-19 16:11:48.810660,2024-08-19 16:11:49.118008,307.36,15539.4534
7,2024-08-19 16:11:49.118048,2024-08-19 16:11:49.530449,412.4099,2024-08-19 16:11:49.530460,2024-08-19 16:11:49.840785,310.3359,16262.23
8,2024-08-19 16:11:49.840888,2024-08-19 16:11:50.281498,440.6393,2024-08-19 16:11:50.281528,2024-08-19 16:11:50.622305,340.7822,17043.7493
9,2024-08-19 16:11:50.622365,2024-08-19 16:11:51.059360,437.0137,2024-08-19 16:11:51.059380,2024-08-19 16:11:51.371693,312.3222,17793.1362
10,2024-08-19 16:11:51.371741,2024-08-19 16:11:51.812650,440.9163,2024-08-19 16:11:51.812658,2024-08-19 16:11:52.111623,298.9709,18533.0627
11,2024-08-19 16:11:52.111659,2024-08-19 16:11:52.527962,416.3098,2024-08-19 16:11:52.527969,2024-08-19 16:11:52.841706,313.7434,19263.1465
12,2024-08-19 16:11:52.841751,2024-08-19 16:11:53.292547,450.8021,2024-08-19 16:11:53.292555,2024-08-19 16:11:53.596064,303.5161,20017.5047
