ts_in,ts_out,delay,JointPosition1,JointPosition2,JointPosition3,JointPosition4,JointPosition5,JointPosition6,JointPosition7,GripperData_Width,GripperData_Speed
2024-08-14 18:37:46.2337543,2024-08-14 18:37:46.2339523,0.198,0.000127,-0.785194,0.000093,-2.355723,0.000375,1.571280,0.785881,0.0100000000000000,0.0100000
2024-08-14 18:37:46.2418022,2024-08-14 18:37:46.2419481,0.1459,0.000125,-0.785194,0.000090,-2.355711,0.000377,1.571279,0.785878,0.0100000000000000,0.0100000
2024-08-14 18:37:46.2539362,2024-08-14 18:37:46.2541241,0.1879,0.000128,-0.785191,0.000093,-2.355714,0.000373,1.571279,0.785876,0.0100000000000000,0.0100000
2024-08-14 18:37:46.2619850,2024-08-14 18:37:46.2621312,0.1462,0.000125,-0.785195,0.000093,-2.355711,0.000373,1.571279,0.785878,0.0100000000000000,0.0100000
2024-08-14 18:37:46.2741195,2024-08-14 18:37:46.2743081,0.1886,0.000122,-0.785196,0.000093,-2.355717,0.000373,1.571278,0.785874,0.0100000000000000,0.0100000
2024-08-14 18:37:46.2821904,2024-08-14 18:37:46.2823960,0.2056,0.000125,-0.785193,0.000095,-2.355717,0.000373,1.571280,0.785879,0.0100000000000000,0.0100000
2024-08-14 18:37:46.2942997,2024-08-14 18:37:46.2944674,0.1677,0.000123,-0.785201,0.000096,-2.355714,0.000373,1.571278,0.785878,0.0100000000000000,0.0100000
2024-08-14 18:37:46.3023819,2024-08-14 18:37:46.3026099,0.228,0.000122,-0.785193,0.000090,-2.355717,0.000376,1.571278,0.785881,0.0100000000000000,0.0100000
2024-08-14 18:37:46.3144946,2024-08-14 18:37:46.3147064,0.2118,0.000122,-0.785197,0.000093,-2.355717,0.000374,1.571279,0.785875,0.0100000000000000,0.0100000
2024-08-14 18:37:46.3225634,2024-08-14 18:37:46.3227620,0.1986,0.000122,-0.785193,0.000098,-2.355714,0.000375,1.571279,0.785881,0.0100000000000000,0.0100000
2024-08-14 18:37:46.3346778,2024-08-14 18:37:46.3348562,0.1784,0.000123,-0.785196,0.000096,-2.355720,0.000373,1.571279,0.785878,0.0100000000000000,0.0100000
2024-08-14 18:37:46.3427372,2024-08-14 18:37:46.3429167,0.1795,0.000128,-0.785196,0.000099,-2.355714,0.000372,1.571279,0.785880,0.0100000000000000,0.0100000
2024-08-14 18:37:46.3548618,2024-08-14 18:37:46.3550340,0.1722,0.000126,-0.785199,0.000091,-2.355717,0.000374,1.571279,0.785883,0.0100000000000000,0.0100000
2024-08-14 18:37:46.3629294,2024-08-14 18:37:46.3631086,0.1792,0.000122,-0.785196,0.000093,-2.355711,0.000375,1.571278,0.785882,0.0100000000000000,0.0100000
2024-08-14 18:37:46.3750525,2024-08-14 18:37:46.3752317,0.1792,0.000120,-0.785193,0.000096,-2.355719,0.000373,1.571279,0.785880,0.0100000000000000,0.0100000
2024-08-14 18:37:46.3831130,2024-08-14 18:37:46.3832840,0.171,0.000122,-0.785199,0.000093,-2.355714,0.000374,1.571279,0.785878,0.0100000000000000,0.0100000
2024-08-14 18:37:46.3952317,2024-08-14 18:37:46.3954238,0.1921,0.000130,-0.785198,0.000093,-2.355717,0.000372,1.571278,0.785875,0.0100000000000000,0.0100000
2024-08-14 18:37:46.4033149,2024-08-14 18:37:46.4035322,0.2173,0.000123,-0.785197,0.000093,-2.355714,0.000373,1.571278,0.785875,0.0100000000000000,0.0100000
2024-08-14 18:37:46.4154389,2024-08-14 18:37:46.4156685,0.2296,0.000128,-0.785198,0.000095,-2.355717,0.000373,1.571279,0.785884,0.0100000000000000,0.0100000
2024-08-14 18:37:46.4235706,2024-08-14 18:37:46.4237538,0.1832,0.000123,-0.785194,0.000096,-2.355711,0.000374,1.571279,0.785875,0.0100000000000000,0.0100000
2024-08-14 18:37:46.4356911,2024-08-14 18:37:46.4359173,0.2262,0.000120,-0.785196,0.000093,-2.355717,0.000374,1.571277,0.785884,0.0100000000000000,0.0100000
2024-08-14 18:37:46.4437458,2024-08-14 18:37:46.4439268,0.181,0.000120,-0.785191,0.000093,-2.355717,0.000373,1.571279,0.785878,0.0100000000000000,0.0100000
2024-08-14 18:37:46.4538100,2024-08-14 18:37:46.4540101,0.2001,0.000125,-0.785193,0.000085,-2.355715,0.000373,1.571279,0.785884,0.0100000000000000,0.0100000
2024-08-14 18:37:46.4618654,2024-08-14 18:37:46.4620458,0.1804,0.000122,-0.785196,0.000093,-2.355719,0.000373,1.571280,0.785884,0.0100000000000000,0.0100000
2024-08-14 18:37:46.4739819,2024-08-14 18:37:46.4741607,0.1788,0.000120,-0.785194,0.000090,-2.355719,0.000373,1.571278,0.785875,0.0100000000000000,0.0100000
2024-08-14 18:37:46.4820395,2024-08-14 18:37:46.4822858,0.2463,0.000126,-0.785194,0.000091,-2.355714,0.000375,1.571278,0.785876,0.0100000000000000,0.0100000
2024-08-14 18:37:46.4941563,2024-08-14 18:37:46.4943532,0.1969,0.000122,-0.785196,0.000090,-2.355717,0.000375,1.571280,0.785880,0.0100000000000000,0.0100000
2024-08-14 18:37:46.5022166,2024-08-14 18:37:46.5024056,0.189,0.000122,-0.785193,0.000093,-2.355717,0.000372,1.571278,0.785876,0.0100000000000000,0.0100000
2024-08-14 18:37:46.5143280,2024-08-14 18:37:46.5145024,0.1744,0.000125,-0.785194,0.000090,-2.355717,0.000374,1.571279,0.785884,0.0100000000000000,0.0100000
2024-08-14 18:37:46.5223873,2024-08-14 18:37:46.5225739,0.1866,0.000125,-0.785201,0.000091,-2.355717,0.000374,1.571278,0.785884,0.0100000000000000,0.0100000
2024-08-14 18:37:46.5345354,2024-08-14 18:37:46.5347832,0.2478,0.000122,-0.785192,0.000096,-2.355717,0.000377,1.571278,0.785877,0.0100000000000000,0.0100000
2024-08-14 18:37:46.5425702,2024-08-14 18:37:46.5427446,0.1744,0.000125,-0.785196,0.000096,-2.355714,0.000376,1.571279,0.785875,0.0100000000000000,0.0100000
2024-08-14 18:37:46.5546963,2024-08-14 18:37:46.5548852,0.1889,0.000125,-0.785199,0.000093,-2.355714,0.000376,1.571279,0.785878,0.0100000000000000,0.0100000
2024-08-14 18:37:46.5627568,2024-08-14 18:37:46.5629427,0.1859,0.000123,-0.785196,0.000094,-2.355711,0.000375,1.571278,0.785879,0.0100000000000000,0.0100000
2024-08-14 18:37:46.5748700,2024-08-14 18:37:46.5750375,0.1675,0.000125,-0.785201,0.000095,-2.355714,0.000371,1.571277,0.785878,0.0100000000000000,0.0100000
2024-08-14 18:37:46.5829339,2024-08-14 18:37:46.5831178,0.1839,0.000125,-0.785191,0.000096,-2.355719,0.000373,1.571279,0.785875,0.0100000000000000,0.0100000
2024-08-14 18:37:46.5950601,2024-08-14 18:37:46.5952626,0.2025,0.000118,-0.785196,0.000093,-2.355714,0.000375,1.571279,0.785881,0.0100000000000000,0.0100000
2024-08-14 18:37:46.6031211,2024-08-14 18:37:46.6033230,0.2019,0.000125,-0.785194,0.000096,-2.355717,0.000375,1.571279,0.785878,0.0100000000000000,0.0100000
2024-08-14 18:37:46.6152477,2024-08-14 18:37:46.6154802,0.2325,0.000125,-0.785196,0.000093,-2.355719,0.000374,1.571281,0.785878,0.0100000000000000,0.0100000
2024-08-14 18:37:46.6233017,2024-08-14 18:37:46.6235027,0.201,0.000128,-0.785196,0.000096,-2.355717,0.000375,1.571279,0.785878,0.0100000000000000,0.0100000
2024-08-14 18:37:46.6354342,2024-08-14 18:37:46.6356299,0.1957,0.000123,-0.785201,0.000095,-2.355717,0.000373,1.571279,0.785881,0.0100000000000000,0.0100000
2024-08-14 18:37:46.6435028,2024-08-14 18:37:46.6437221,0.2193,0.000125,-0.785191,0.000090,-2.355717,0.000376,1.571274,0.785880,0.0100000000000000,0.0100000
2024-08-14 18:37:46.6556169,2024-08-14 18:37:46.6558064,0.1895,0.000123,-0.785191,0.000093,-2.355719,0.000373,1.571279,0.785883,0.0100000000000000,0.0100000
2024-08-14 18:37:46.6636777,2024-08-14 18:37:46.6638780,0.2003,0.000125,-0.785192,0.000093,-2.355717,0.000373,1.571279,0.785882,0.0100000000000000,0.0100000
2024-08-14 18:37:46.6737343,2024-08-14 18:37:46.6739126,0.1783,0.000122,-0.785191,0.000090,-2.355714,0.000373,1.571278,0.785883,0.0100000000000000,0.0100000
2024-08-14 18:37:46.6939926,2024-08-14 18:37:46.6943235,0.3309,0.000122,-0.785193,0.000093,-2.355717,0.000373,1.571280,0.785881,0.0100000000000000,0.0100000
2024-08-14 18:37:46.7020439,2024-08-14 18:37:46.7022331,0.1892,0.000122,-0.785199,0.000093,-2.355717,0.000376,1.571278,0.785883,0.0100000000000000,0.0100000
2024-08-14 18:37:46.7141762,2024-08-14 18:37:46.7143530,0.1768,0.000125,-0.785196,0.000097,-2.355719,0.000373,1.571279,0.785875,0.0100000000000000,0.0100000
